link,name,location,price,area,bhk,bathroom,area_type_x,id,property_name_address
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-650-sq-ft-spid-E85867776,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.87 Cr,650 sqft,2 BHK,(2 Baths),Carpet Area,21,Wadhwa Promenade at the Address Ghatkopar West
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-850-sq-ft-spid-M85926046,"Kalpataru Aura
4.2","3 BHK Flat in Ghatkopar West, Mumbai",₹3.05 Cr,850 sqft,3 BHK,(2 Baths),Carpet Area,22,Kalpataru Aura Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-649-sq-ft-spid-R85253144,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.75 Cr,649 sqft,2 BHK,(2 Baths),Carpet Area,23,Wadhwa Promenade at the Address Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-649-sq-ft-spid-R85253144,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.75 Cr,649 sqft,2 BHK,(2 Baths),Carpet Area,36,"Carpet area: 649
(60.29 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ashok-odyssey-ghatkopar-west-central-mumbai-suburbs-814-sq-ft-spid-C83608730,Ashok Odyssey,"2 BHK Flat in Ghatkopar West, Mumbai",₹2 Cr,813 sqft,2 BHK,(2 Baths),Carpet Area,24,Ashok Odyssey Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ashok-odyssey-ghatkopar-west-central-mumbai-suburbs-814-sq-ft-spid-C83608730,Ashok Odyssey,"2 BHK Flat in Ghatkopar West, Mumbai",₹2 Cr,813 sqft,2 BHK,(2 Baths),Carpet Area,37,"Carpet area: 813.56
(75.58 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-1055-sq-ft-r2-spid-V79649683,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.79 Cr,"1,055 sqft",2 BHK,(2 Baths),Super Built-up Area,25,Wadhwa Promenade at the Address Ghatkopar West
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-vikhroli-east-central-mumbai-suburbs-450-sq-ft-spid-E86151864,"Shubhamkaroti Aarambh, Kannamwar Nagar 2","1 BHK Flat in Vikhroli East, Mumbai",₹67 Lac,450 sqft,1 BHK,(2 Baths),Super Built-up Area,26,Vikhroli East
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-pant-nagar-central-mumbai-suburbs-300-sq-ft-r2-spid-R79558943,Gurukrupa SRA building,"1 BHK Flat in Pant Nagar, Ghatkopar",₹57 Lac,300 sqft,1 BHK,(1 Bath),Carpet Area,27,Pant Nagar
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-pant-nagar-central-mumbai-suburbs-300-sq-ft-r2-spid-R79558943,Gurukrupa SRA building,"1 BHK Flat in Pant Nagar, Ghatkopar",₹57 Lac,300 sqft,1 BHK,(1 Bath),Carpet Area,38,"Carpet area: 300
(27.87 sq.m.)  
sq.ft."
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shree-datta-darshan-barve-nagar-central-mumbai-suburbs-245-sq-ft-spid-V84989418,Shree Datta Darshan,"1 BHK Flat in Barve Nagar, Ghatkopar",₹55 Lac,245 sqft,1 BHK,(2 Baths),Carpet Area,28,Shree Datta Darshan Barve Nagar
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shree-datta-darshan-barve-nagar-central-mumbai-suburbs-245-sq-ft-spid-V84989418,Shree Datta Darshan,"1 BHK Flat in Barve Nagar, Ghatkopar",₹55 Lac,245 sqft,1 BHK,(2 Baths),Carpet Area,39,"Carpet area: 245
(22.76 sq.m.)  
sq.ft."
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ghatkopar-east-central-mumbai-suburbs-300-sq-ft-spid-X85917392,,"1 BHK Flat in Ghatkopar East, Mumbai",₹57 Lac,300 sqft,1 BHK,(1 Bath),Built-up Area,29,Ghatkopar East
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ghatkopar-east-central-mumbai-suburbs-300-sq-ft-spid-X85917392,,"1 BHK Flat in Ghatkopar East, Mumbai",₹57 Lac,300 sqft,1 BHK,(1 Bath),Built-up Area,40,"Built Up area: 300
(27.87 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-sion-chs-sindhi-colony-central-mumbai-suburbs-1800-sq-ft-r1-spid-D69616560,New Sion CHS,"3 Bedroom House in Sindhi Colony, Sion, Mumbai",₹3.4 Cr,"1,800 sqft",3 BHK,(3 Baths),Plot Area,30,New Sion CHS Sindhi Colony
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-sion-chs-sindhi-colony-central-mumbai-suburbs-1800-sq-ft-r1-spid-D69616560,New Sion CHS,"3 Bedroom House in Sindhi Colony, Sion, Mumbai",₹3.4 Cr,"1,800 sqft",3 BHK,(3 Baths),Plot Area,41,"Plot area 1800
(167.23 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dosti-mezzo-22-sion-east-central-mumbai-suburbs-1695-sq-ft-spid-F84765176,Dosti Mezzo 22,"3 BHK Flat in Sion East, Mumbai",₹4.65 Cr,"1,695 sqft",3 BHK,(3 Baths),Super Built-up Area,31,Dosti Mezzo 22 Sion East
